MJD filter mag dmag
60188.607000 i 19.3720 0.1920
60197.564000 i 19.3000 0.1790
60217.543000 i 19.7100 0.3200
60217.554000 i 19.8690 0.2500
60264.440000 i 19.9220 0.2700
60272.361000 i 20.1070 0.2100
60272.372000 i 20.2360 0.1670
59956.293000 r 16.1320 0.0160
59964.275000 r 16.1980 0.0150
60182.622000 r 19.2970 0.1620
60188.617000 r 19.1630 0.1940
60201.551000 r 19.5610 0.0760
60202.575000 r 19.4770 0.0900
60232.472000 r 19.7730 0.1380
60244.485000 r 19.7710 0.0690
60258.417000 r 19.9690 0.1730
59960.235000 w 16.1080 0.0030
59960.245000 w 16.0860 0.0030
59960.256000 w 16.1150 0.0030
59960.267000 w 16.1320 0.0030
60205.571000 w 20.0060 0.1080
60205.571000 w 20.0060 0.1080
60205.582000 w 19.8500 0.0550
60205.582000 w 19.8500 0.0550
60205.592000 w 19.8710 0.0550
60205.592000 w 19.8710 0.0550
60205.602000 w 20.0730 0.1020
60205.602000 w 20.0730 0.1020
60212.514000 w 19.9890 0.0880
60212.525000 w 20.0170 0.0860
60212.536000 w 19.9210 0.0650
60212.547000 w 19.9250 0.0670
60237.551000 w 20.2500 0.0900
60268.364000 w 20.5030 0.1270
60268.377000 w 20.4900 0.1180
60268.391000 w 20.6060 0.1840
60268.404000 w 20.3930 0.1090
59928.318000 y 16.4140 0.0540
59928.318000 y 16.4100 0.0500
59933.047440 g 16.2500 0.0130
59939.129200 g 16.3610 0.0070
60229.218570 g 20.6840 0.2570
60229.220410 g 20.6880 0.2500
60251.252220 g 20.7880 0.1540
60251.256170 g 20.7380 0.1530
60253.307540 g 20.8280 0.2830
60253.311480 g 20.9110 0.2750
60255.239460 g 20.8760 0.2430
60255.243400 g 20.9620 0.2250
60259.258020 g 20.9310 0.1260
60259.261950 g 20.8810 0.1070
60261.099990 g 20.7810 0.2210
60261.103940 g 20.9190 0.2530
59939.131800 i 16.2000 0.0080
59943.111060 i 16.1800 0.0080
60229.226130 i 19.8530 0.1600
60229.227980 i 19.8790 0.2040
60244.113000 i 19.8170 0.1480
60244.114850 i 19.9020 0.1830
60247.229640 i 19.9750 0.1920
60247.231520 i 19.9280 0.2360
60251.268460 i 20.1770 0.0970
60251.272390 i 20.0580 0.0920
60253.323450 i 20.1730 0.1130
60253.327550 i 20.0830 0.1160
60255.255530 i 20.0930 0.1180
60255.259650 i 20.1110 0.1160
60259.274010 i 20.1660 0.0930
60259.277950 i 20.1490 0.0900
60261.115980 i 20.1880 0.1920
60261.119920 i 20.1430 0.1560
59939.130530 r 16.0720 0.0060
59943.109630 r 16.1040 0.0060
60229.222330 r 19.7990 0.1800
60229.224190 r 19.8190 0.1980
60244.109210 r 19.7540 0.1400
60244.111080 r 19.7540 0.1570
60247.225810 r 20.0630 0.2270
60247.227680 r 19.9110 0.2250
60251.260330 r 19.8970 0.0750
60251.264270 r 19.9140 0.0800
60253.315490 r 20.0500 0.1770
60253.319440 r 20.0970 0.1610
60255.247420 r 20.0360 0.1100
60255.251510 r 20.0040 0.0840
60259.265970 r 19.9400 0.0660
60259.269990 r 19.9630 0.0690
60261.107940 r 20.2370 0.1410
60261.111880 r 20.1640 0.1540
59939.133240 z 16.2280 0.0130
59943.112310 z 16.1910 0.0110
60229.229910 z 19.5450 0.1380
60229.231750 z 19.4920 0.1170
60244.118630 z 19.7120 0.2040
60247.233490 z 19.3460 0.2300
60247.235350 z 19.7730 0.2360
60251.276560 z 19.6130 0.0900
60251.280510 z 19.7460 0.1020
60253.331560 z 20.0570 0.1480
60253.335680 z 19.9340 0.1280
60255.263660 z 19.8900 0.1300
60255.267770 z 19.7170 0.1060
60259.281970 z 19.7140 0.0950
60259.285950 z 19.9970 0.1330
60261.124070 z 20.0880 0.1900
60261.128010 z 20.0760 0.1630
59941.116000 B 16.9480 0.0140
59942.166000 B 16.9820 0.0120
59943.057000 B 17.0400 0.0130
59944.148000 B 17.0670 0.0150
59945.154000 B 17.1250 0.0160
59962.187000 B 16.9650 0.0120
59964.135000 B 17.0160 0.0120
59966.103000 B 17.6240 0.0180
59966.103000 B 17.6240 0.0180
59970.062000 B 17.6810 0.0120
59972.078000 B 17.6800 0.0130
59974.117000 B 17.7570 0.0150
59976.072000 B 17.7600 0.0130
59988.090000 B 17.9610 0.0120
59991.039000 B 17.9440 0.0120
59993.046000 B 18.0040 0.0120
59995.033000 B 18.0530 0.0120
60119.413000 B 20.7680 0.0490
60133.384000 B 21.1680 1.0860
60133.434000 B 21.2760 1.0860
60141.414000 B 20.9930 0.0410
60151.441000 B 20.2870 1.0860
60174.345000 B 20.9680 0.0530
60179.373000 B 21.7370 1.0860
60181.314000 B 20.9200 0.0580
60182.365000 B 20.8960 0.0560
59941.113000 V 16.2120 0.0110
59942.164000 V 16.2230 0.0090
59943.055000 V 16.2340 0.0100
59944.146000 V 16.2550 0.0110
59945.152000 V 16.3000 0.0110
59962.185000 V 16.3180 0.0090
59964.133000 V 16.3120 0.0090
59966.102000 V 16.4680 0.0120
59966.102000 V 16.4680 0.0120
59970.059000 V 16.4770 0.0090
59972.075000 V 16.4620 0.0090
59974.115000 V 16.5100 0.0100
59976.070000 V 16.5090 0.0110
59988.088000 V 16.6290 0.0090
59991.037000 V 16.5900 0.0090
59993.043000 V 16.3540 0.0090
59995.030000 V 16.6740 0.0090
60119.405000 V 19.5430 0.0200
60133.377000 V 19.6780 0.0540
60133.426000 V 19.7000 0.0390
60141.406000 V 19.6850 0.0220
60151.433000 V 19.8880 0.0420
60174.332000 V 19.8930 0.0320
60179.366000 V 19.9770 0.0360
60181.306000 V 19.9200 0.0340
60182.357000 V 20.0180 0.0350
59941.106000 g 16.4640 0.0100
59942.160000 g 16.5180 0.0090
59943.050000 g 16.5430 0.0090
59944.142000 g 16.5810 0.0110
59945.147000 g 16.6410 0.0110
59962.174000 g 16.8000 0.0100
59964.122000 g 16.8350 0.0100
59966.098000 g 16.9620 0.0110
59970.048000 g 17.0020 0.0090
59972.063000 g 17.0000 0.0100
59974.105000 g 17.0390 0.0110
59976.061000 g 17.0790 0.0110
59988.074000 g 17.1620 0.0090
59991.023000 g 17.1920 0.0090
59993.028000 g 17.2280 0.0090
59995.020000 g 17.2850 0.0090
60111.437000 g 19.6070 0.0440
60118.410000 g 19.6910 0.0350
60118.433000 g 19.7330 0.0360
60119.397000 g 19.7180 0.0250
60133.369000 g 19.7680 0.0580
60133.418000 g 19.7930 0.0440
60141.398000 g 19.8860 0.0220
60149.430000 g 19.9900 0.0410
60151.413000 g 19.9080 0.0320
60174.323000 g 20.0600 0.0310
60179.358000 g 20.0410 0.0360
60181.299000 g 20.0680 0.0310
60182.349000 g 20.1060 0.0250
60195.376000 g 20.2430 0.0470
59941.104000 i 16.1400 0.0080
59942.159000 i 16.1140 0.0080
59943.049000 i 16.1130 0.0090
59944.141000 i 16.0870 0.0090
59945.146000 i 16.1480 0.0090
59962.172000 i 16.1490 0.0080
59964.119000 i 16.1070 0.0070
59966.096000 i 16.1290 0.0090
59970.046000 i 16.1240 0.0080
59972.061000 i 16.0840 0.0080
59974.104000 i 16.1200 0.0090
59976.059000 i 16.1000 0.0100
59988.073000 i 16.1740 0.0080
59991.020000 i 16.1690 0.0080
59993.025000 i 16.2170 0.0080
59995.017000 i 16.2430 0.0080
60111.429000 i 18.6900 0.0260
60118.402000 i 18.7890 0.0360
60118.426000 i 18.8300 0.0170
60119.389000 i 18.8290 0.0160
